"WIND","IND","RAIN","T.MAX","IND.2","T.MIN.G"
11.92,0.000,5.1,19.3,0.000,6
13.54,0.000,0,20.6,0.000,13.1
10.54,0.000,0,19.5,0.000,3.3
7.87,0.000,0.1,18.3,0.000,8.4
10.63,0.000,1.1,19,0.000,9.8
11.25,0.000,1.9,18.3,0.000,8.4
4.67,0.000,1.2,16.6,0.000,6.2
6.83,0.000,0.2,16.6,0.000,6.2
6.83,0.000,0.8,19.1,0.000,2.2
10.92,0.000,0.1,18.4,0.000,10.2
15.09,0.000,0.4,18.8,0.000,9.7
9.42,0.000,0.3,18.3,0.000,12
12.96,0.000,0,19,0.000,10.7
10.21,0.000,0.4,21.7,0.000,9.3
19.04,0.000,0.8,17,0.000,13.3
13.21,0.000,0.3,15.6,0.000,11.5
19,0.000,0.2,17.3,0.000,12.2
12.08,0.000,0,17.2,0.000,10.5
8.17,0.000,5,21.6,0.000,10.7
5.66,0.000,0,18,0.000,5
10.92,0.000,1.8,19.4,0.000,12.8
9.79,0.000,1.1,18.2,0.000,5.2
12.12,0.000,0,21.7,0.000,9.5
9.08,0.000,0,24.6,0.000,9.4
14.12,0.000,0,22.7,0.000,14.8
4.58,0.000,0,20,0.000,4.8
2.92,0.000,0.1,21.1,0.000,4.4
4.63,0.000,0.1,21,0.000,1.3
3.83,0.000,0.1,20.5,0.000,10.4
5.88,0.000,0,16.1,0.000,13.7
1.25,0.000,0,18.3,0.000,14.4
9.38,0.000,0.2,15.6,0.000,8.4
14.09,0.000,3.4,16.6,0.000,8.1
7.87,0.000,0,15.8,0.000,5
3.17,0.000,0,17.7,0.000,3.2
4.83,0.000,0,21.4,0.000,10.5
8.63,0.000,2.8,18.2,0.000,6.4
11.08,0.000,0.5,19.5,0.000,6.8
11.75,0.000,0.8,19.1,0.000,10.7
12.75,0.000,1,19.5,0.000,7.8
13,0.000,0.5,19.4,0.000,12.4
20.79,0.000,0,19.5,0.000,13.3
7.87,0.000,0,20,0.000,7.2
4.17,0.000,0.1,18.4,0.000,1.3
6.46,0.000,0,18.3,0.000,12.6
4.12,0.000,0.4,20.7,0.000,0.2
6.08,0.000,2.8,20.3,0.000,12.1
5.91,0.000,0,16.7,0.000,5
8.92,0.000,0,15.5,0.000,0.5
12.46,0.000,1.2,16.6,0.000,9.8
9.21,0.000,1.2,16.8,0.000,2.2
10.96,0.000,0,14.8,0.000,4.6
5.83,0.000,0.5,16,0.000,7.6
8.71,0.000,3.4,17.7,0.000,8.4
3.5,0.000,4,12.7,0.000,5.1
5.63,0.000,1.8,14.7,0.000,9.7
12.96,0.000,3,15,0.000,9.5
6.87,0.000,0.6,14.6,0.000,2.7
10.17,0.000,1.6,15.1,0.000,2.7
9.04,0.000,1.7,17.5,0.000,2.7
11.75,0.000,0.9,16.6,0.000,8.3
12.71,0.000,0.1,14.3,0.000,6.8
5.58,0.000,0,15.5,0.000,-1.5
9.92,0.000,0,17.8,0.000,2.6
2.96,0.000,0,15.6,0.000,0
9,0.000,0,13.8,0.000,2.3
14.58,0.000,2.2,12.2,0.000,4.1
22.17,0.000,0,12.6,0.000,7.3
21.84,0.000,0,12.3,0.000,4.5
13.21,0.000,1.1,9.6,0.000,3.5
12.08,0.000,0,10.7,0.000,-0.2
7.5,0.000,0.3,13.7,0.000,3.8
17.96,0.000,5.6,11.5,0.000,6.6
18.34,0.000,0.2,11.1,0.000,1.7
9.79,0.000,0,13.3,0.000,5.2
7.79,0.000,1.6,11.6,0.000,-0.4
9.75,0.000,0,11.7,0.000,1
9.42,0.000,0,10.4,0.000,-3.6
14.88,0.000,0,12.5,0.000,-1.1
15.25,0.000,0.5,15.4,0.000,8.4
13.08,0.000,0.3,15.4,0.000,3.1
15.83,0.000,0.5,11.7,0.000,5.4
11.21,0.000,0,8.2,0.000,-1.2
8.5,0.000,0,10.6,0.000,-2.4
8.21,0.000,0,11.3,0.000,4.1
9.29,0.000,4.1,13.2,0.000,5.6
6.58,0.000,0,10,0.000,-1.6
8.21,0.000,0,9.5,0.333,-6.3
7.71,0.000,0.3,6.1,0.333,-6.6
12.12,0.000,0,8.6,0.333,-5.5
13.04,0.000,0,10.5,0.000,-4.4
21.87,0.000,0,10.5,0.000,1.1
15.71,0.000,0,9.4,0.000,5.4
6,0.000,0,8.7,0.000,5.8
2.29,0.000,0.5,8.3,0.000,5
3.13,0.000,0.4,9.6,0.000,5.5
9.29,0.000,0,9.6,0.000,6.3
9.33,0.000,0,9.4,0.000,7.2
13.04,0.000,0,9.5,0.000,7.2
15.41,0.000,0,8.7,0.000,-0.5
11.83,0.000,0,7.7,0.000,-0.2
12.79,0.000,0.9,8.3,0.000,-1.7
16.5,0.000,5.8,13.1,0.000,6.7
7.25,0.000,0,5.5,0.000,3.3
12.21,0.000,3,7.2,0.000,-2.6
7.67,0.000,3.2,7.4,0.333,-7.8
17.83,0.000,0.1,5,0.000,-1.4
12.62,0.000,0,3.3,0.333,-3.1
8.87,0.000,4.5,5.5,0.333,-10.4
10.04,0.000,3.4,13.3,0.000,0.1
18.84,0.000,4.6,14,0.000,0.4
25.62,0.000,0.4,11.8,0.000,8.3
16.83,0.000,3.3,13.4,0.000,7.5
16.66,0.000,0.2,13.5,0.000,2.5
9.38,0.000,0.1,12.7,0.333,-5.5
6.92,0.000,0,11.2,0.000,3.3
9.54,0.000,0,9,0.000,1.6
4.79,0.000,0,4.4,0.333,-8.3
3.54,0.000,0,2.1,0.333,-8.5
3.63,0.000,0,6.1,0.333,-9
4.33,0.000,0,6.2,0.333,-6.7
18.12,0.000,0,5,0.000,3.4
8.5,0.000,0,2.6,0.333,-5.1
11.92,0.000,0,5,0.333,-10.7
17.12,0.000,0,5,0.000,-0.5
2.92,0.000,0,3.3,0.333,-9.4
8.96,0.000,0,3.8,0.333,-10
15,0.000,0,3,0.333,-8.6
17.29,0.000,0,1.7,0.000,0
8.46,0.000,0,-0.1,0.333,-10.5
4.58,0.000,0,1.8,0.333,-8.8
15.29,0.000,1.8,9.1,0.333,-7.1
8.46,0.000,2.1,11.6,0.000,2.4
14.29,0.000,0,8.8,0.000,0.6
15.29,0.000,0,6.2,0.000,0.5
14.29,0.000,4.2,12.5,0.000,-1.1
25.96,0.000,0.7,7.6,0.000,0
23.54,0.000,0.1,7.6,0.000,0.7
19.7,0.000,0,5.5,0.000,-1.2
12.42,0.000,0.1,8.6,0.000,-2.6
19.75,0.000,2.7,8.1,0.000,-0.5
22.79,0.000,1,8.6,0.000,3.8
12.46,0.000,0,8.3,0.000,-2.7
16.08,0.000,1.1,9.8,0.000,1.6
10.29,0.000,1.1,11.1,0.000,1.8
17.29,0.000,2.4,8.8,0.000,3.8
23.25,0.000,0,6.2,0.000,-0.5
12.71,0.000,2.6,11.2,0.000,-0.4
17.25,0.000,1,11.7,0.000,1.1
18.29,0.000,0,11.3,0.000,5.4
7.41,0.000,0.9,8.7,0.000,4.7
5.17,0.000,0,7.7,0.000,1.8
3.63,0.000,0,8.2,0.000,5
2.17,0.000,0,10.2,0.000,4.5
13.33,0.000,0.3,11.1,0.000,-2.7
15.71,0.000,0.3,7.4,0.000,-0.5
13.17,0.000,0.8,10,0.000,1.1
15.96,0.000,0,10.7,0.000,-1.7
18.88,0.000,4,10.2,0.000,1.1
15.75,0.000,0,10.7,0.000,0.4
18.75,0.000,2.6,11.6,0.000,1.8
25,0.000,1.1,8.5,0.000,3.8
8.21,0.000,0.1,10,0.000,-1.4
14.96,0.000,1.1,10.5,0.000,6
24.41,0.000,0.4,12.4,0.000,-2.2
15.79,0.000,2.7,6.1,0.000,-0.1
11.71,0.000,0,6.8,0.333,-4
23.45,0.000,2.9,10.7,0.000,-5
14.12,0.000,0,10.5,0.000,2.4
8.29,0.000,0,9.8,0.000,-0.8
7.92,0.000,0,10.8,0.000,2.2
1.46,0.000,0,10.6,0.000,2.7
7.04,0.000,0,9.5,0.000,5.4
15.29,0.000,0,6.6,0.000,-2.3
20.21,0.000,0,4,0.000,-0.5
18.12,0.000,0,5.7,0.000,1.1
22.63,0.000,0.4,4.6,0.000,1.7
25.62,0.000,5.4,2.7,0.333,-1.5
13.88,0.000,5.5,3.6,0.333,-1.1
7.96,0.000,1.1,3.5,0.000,-0.1
9.59,0.000,0.5,5.5,0.000,-1.6
6.71,0.000,5,1,0.333,-5.4
5.33,0.000,0,3.3,0.333,-8.8
5.79,0.000,0,6.1,0.333,-12
8,0.000,0,6.1,0.333,-12
9,0.000,6,9.2,0.000,1.6
10.92,0.000,2.7,5.5,0.000,4.5
7.71,0.000,0,6.1,0.000,1.1
6.83,0.000,0,5.7,0.333,-7.2
4,0.000,0,5.4,0.333,-10
16.54,0.000,3,5.6,0.000,-3.2
12.58,0.000,0,6.1,0.000,1.8
7.71,0.000,0,7.2,0.000,2.3
5.79,0.000,0,11.6,0.333,-9.2
9.04,0.000,0,6.7,0.333,-6.3
7.67,0.000,0,9.4,0.333,-6.4
6.71,0.000,0,6.5,0.000,-2.3
5.96,0.000,0.5,9.3,0.333,-6.6
9.42,0.000,0,6.8,0.000,-0.5
3.5,0.000,0.2,6.8,0.000,0
19.41,0.000,2.3,10.2,0.000,1.5
14.88,0.000,0.3,12.6,0.000,1.7
9.92,0.000,0.2,11.1,0.000,-2.2
13.54,0.000,4.4,10.1,0.333,-7.7
10.83,0.000,1.2,13.6,0.000,2.2
13.75,0.000,0.3,9.3,0.000,-3.8
16.42,0.000,0.4,9.2,0.333,-4.3
19.79,0.000,2.7,8.6,0.000,-2
20.83,0.000,5.2,9.8,0.000,-0.1
10.67,0.000,4,12.1,0.000,0
17.83,0.000,3.8,10.2,0.000,-1.1
22.42,0.000,1.7,9.3,0.000,3
17.08,0.000,1.1,10.8,0.000,-1.1
22.5,0.000,1.5,13.1,0.000,5.5
16.21,0.000,3.8,9.4,0.000,1.3
12.04,0.000,1.8,11.1,0.000,4.3
14.12,0.000,0.1,12.3,0.000,5.6
3.79,0.000,0,10.5,0.000,3.4
6.58,0.000,0,10.6,0.333,-5.2
11.42,0.000,0,8.2,0.000,-3.7
13.83,0.000,0,7.6,0.000,-3.1
15.34,0.000,0.5,9.1,0.000,-2.8
14.83,0.000,3.3,9,0.000,5.3
11.71,0.000,0.8,8.4,0.000,4.3
6.21,0.000,0,12,0.000,5.6
6.17,0.000,0.2,12.2,0.000,-0.4
8.58,0.000,0,14.8,0.000,-4.3
8.96,0.000,0,13.1,0.000,2.7
5.79,0.000,0,16.8,0.000,5.3
5.83,0.000,0,15,0.000,-1.4
7.67,0.000,0,15.8,0.000,0.6
6.42,0.000,0,13.2,0.000,-0.5
5.17,0.000,0,15.5,0.000,-2.1
5.37,0.000,0,13,0.000,-1.1
5.41,0.000,0,13.6,0.000,-2.2
2.25,0.000,0,13.8,0.000,-1.3
4,0.000,0,15.7,0.000,-1.4
3.5,0.000,0,15.7,0.000,-0.7
5.83,0.000,0,16.7,0.000,8.3
8.79,0.000,0,15.7,0.000,1.8
14.09,0.000,0.3,18.6,0.000,7.1
11.34,0.000,2,16.7,0.000,6.6
7.04,0.000,2.6,13.3,0.000,-0.5
11.04,0.000,1.6,14,0.000,3.1
10.46,0.000,0.3,13.3,0.000,1.1
8.75,0.000,0,16.5,0.000,-1.6
13.79,0.000,0,17.4,0.000,7.6
9.83,0.000,3.5,14.5,0.000,4.6
23.25,0.000,0.4,13.3,0.000,5.7
18.05,0.000,2.8,13.6,0.000,2.3
17.12,0.000,1.6,12.4,0.000,5
12.42,0.000,0.9,12.8,0.000,-0.5
11.63,0.000,1.5,16.1,0.000,4.6
16,0.000,0,15.8,0.000,0.6
16.42,0.000,0.4,14.8,0.000,4.4
11.67,0.000,0.1,13.8,0.000,2.2
8,0.000,0,11,0.000,-0.4
7.46,0.000,0,11,0.000,1.2
9.92,0.000,0,12.3,0.000,3.3
6.83,0.000,3.8,14.4,0.000,1.7
6.75,0.000,0.1,10.7,0.000,8.6
7.17,0.000,0,15.6,0.000,-0.5
7.83,0.000,0,11.7,0.000,-0.8
5.91,0.000,0,14,0.000,-2.6
3.17,0.000,0,14.5,0.000,-0.4
3,0.000,0,15.6,0.000,1.1
3.33,0.000,0,16.4,0.000,1.8
8.21,0.000,0,16.7,0.000,1.1
6.08,0.000,0,20.1,0.000,1.1
3.83,0.000,0,21.7,0.000,5.5
5.41,0.000,0,22.7,0.000,8.1
8.29,0.000,0,19.1,0.000,7.8
6.5,0.000,4.4,15.1,0.000,4.3
7.96,0.000,2.3,16.2,0.000,8.3
9.08,0.000,0,20.1,0.000,10.7
9.62,0.000,0,15.6,0.000,5.6
14,0.000,0.2,16.8,0.000,11.5
8.42,0.000,0,18.3,0.000,0
10.37,0.000,1.6,16.8,0.000,1.6
21.5,0.000,1.6,18.4,0.000,11.4
23.42,0.000,0.9,15.6,0.000,9.5
12.54,0.000,1.9,19.8,0.000,6.1
16.04,0.000,0.8,19.4,0.000,12.2
13.67,0.000,0.2,18.4,0.000,9.3
16.66,0.000,0.3,17.3,0.000,7.5
25.29,0.000,0,16.1,0.000,10.5
18.79,0.000,0.2,16.1,0.000,5.4
14.33,0.000,0,16.3,0.000,8.3
11.92,0.000,0,16.1,0.000,2.3
12.79,0.000,0.6,18.4,0.000,9.2
6.42,0.000,0,17.2,0.000,6.7
7.12,0.000,0,20.1,0.000,5.7
11.17,0.000,0,20.7,0.000,7.7
17.5,0.000,0,19.1,0.000,10.6
12.87,0.000,0,19,0.000,10.5
10.08,0.000,0,16.1,0.667,9.8
7.79,0.000,0,13.7,0.000,2.1
5.46,0.000,0,15.5,0.000,9.3
3.13,0.000,0,15.5,0.000,10.6
4.67,0.000,0,16.6,0.000,9.7
7.5,0.000,4.5,14.2,0.000,10.7
5.71,0.000,0,15.6,0.000,11.1
4.75,0.000,0,18.8,0.000,9.6
5.54,0.000,4.3,19.2,0.000,5.5
8,0.000,3.4,15.1,0.000,11.8
5.79,0.000,0,14.8,0.000,11.4
1.87,0.000,0,17.7,0.000,6.3
4.54,0.000,0,17.2,0.000,1.5
13.04,0.000,0,18.4,0.000,13.2
12.96,0.000,1.2,17.3,0.000,11
11.29,0.000,2.6,18,0.000,11.1
5.88,0.000,1.9,18.4,0.000,10.5
4.38,0.000,2,15.1,0.000,11
10,0.000,0,15.5,0.000,9.2
3.67,0.000,0,17,0.000,8.4
6.58,0.000,1.9,21.7,0.000,13.3
12.17,0.000,0,20.5,0.000,13.4
9.54,0.000,0,16.5,0.000,10.8
7.41,0.000,0.5,19,0.000,12.1
5,0.000,5.5,19.5,0.000,11.1
6.17,0.000,1.6,18.3,0.000,12.2
6.46,0.000,5.2,16.7,0.000,8.4
5.25,0.000,1.9,15.1,0.000,6
11.63,0.000,1.2,16.2,0.000,3.8
8.04,0.000,0.2,16.6,0.000,8.2
18.79,0.000,1.1,17.3,0.000,10.7
8.38,0.000,3,18.1,0.000,10.8
7.54,0.000,0.1,13.4,0.000,9.3
6.13,0.000,0,14.3,0.000,0.6
7.25,0.000,1.1,16.2,0.000,9
7.92,0.000,1.9,15.4,0.000,8.8
11.75,0.000,1.1,14.1,0.000,3.7
10.58,0.000,0,13.3,0.000,3.3
6.79,0.000,0,14.5,0.000,0.1
2.88,0.000,0,13.3,0.000,4
4.63,0.000,0,12.8,0.000,5.7
2.29,0.000,0,14.3,0.000,-1.3
6.58,0.000,0,14,0.000,-1.5
8.33,0.000,0,16.1,0.000,9
4.88,0.000,1.3,16.2,0.000,10.5
16.54,0.000,3,16.3,0.000,6.7
13.29,0.000,1.6,16.6,0.000,7.6
7.12,0.000,0,16.3,0.000,1
7.33,0.000,0,17.2,0.000,-1.6
11.54,0.000,0.5,16.6,0.000,7
8.29,0.000,0,17.7,0.000,7.2
6.25,0.000,0,17.7,0.000,3.3
8.04,0.000,0,17.8,0.000,6.7
8.46,0.000,0,16.8,0.000,9.2
4.88,0.000,0,16.6,0.000,2.7
4.83,0.000,0,15.5,0.000,7.2
7.79,0.000,0,15.5,0.000,6.8
4.96,0.000,0,14.5,0.000,4.3
2.5,0.000,0,14.6,0.000,3.4
4.88,0.000,0,12.7,0.000,5
3.92,0.000,0,15.6,0.000,9.3
4.38,0.000,0,12.8,0.000,2.3
6.29,0.000,0,10,0.000,3.5
11.63,0.000,0.2,15,0.000,7.2
5.58,0.000,0,16.1,0.000,10
3.79,0.000,0,13.2,0.000,5.1
6.34,0.000,0,12.8,0.000,5.4
4.92,0.000,0,14.5,0.000,8.5
6.54,0.000,0,14.3,0.000,-0.1
8.5,0.000,0.5,15.7,0.000,8.3
11.79,0.000,0.5,14.4,0.000,10.6
11.04,0.000,0,8.7,0.000,0.8
15.63,0.000,0.6,11.4,0.333,-3.8
15.92,0.000,0.9,9.5,0.000,2.7
12.75,0.000,3.5,10,0.000,1.8
10.46,0.000,0,13.3,0.000,-0.3
6.83,0.000,0.1,9.5,0.000,4
19.75,0.000,0.5,12.1,0.000,7
8.29,0.000,1.2,12.1,0.000,2.1
3.5,0.000,0,11.2,0.000,7.3
4.42,0.000,0,10.7,0.000,-2.7
12.58,0.000,0.2,11.2,0.000,0.1
16.25,0.000,0,11.7,0.000,8.8
14.75,0.000,0.5,9.6,0.000,7.8
5.5,0.000,0.2,7.6,0.000,3.8
7.29,0.000,0,8,0.000,-0.6
9.42,0.000,0.3,7.2,0.000,-0.4
10.41,0.000,3,9.3,0.333,-5.1
18,0.000,0.6,5.1,0.000,0.1
16.46,0.000,0,4.4,0.333,-2.5
10.37,0.000,0.1,4.4,0.333,-3.8
10.54,0.000,0.5,6.3,0.333,-5.4
8.42,0.000,0,7.7,0.000,1.6
12.96,0.000,0.5,12.7,0.000,5.1
4,0.000,0,10,0.000,1.6
5.96,0.000,0,7.2,0.000,-2
5.09,0.000,0,8.7,0.000,0.4
4.88,0.000,0,7.7,0.000,4.6
7.41,0.000,0,6.7,0.000,4.5
4.71,0.000,0,8.4,0.000,1.1
8.42,0.000,0.1,9.5,0.000,4
12.96,0.000,0,9.2,0.000,4.5
10.13,0.000,0,10.5,0.000,4.5
4.79,0.000,0,10,0.000,3.6
8.96,0.000,0,11.4,0.333,-5.5
4.17,0.000,0,11.1,0.000,-3.8
20.25,0.000,1,7.6,0.000,2.2
16.42,0.000,1.3,9.6,0.000,5.4
19.67,0.000,0.3,3.8,0.000,0
14,0.000,0.3,8.2,0.000,-1.4
16.54,0.000,0.4,6.6,0.000,2.1
9.59,0.000,1.2,7.6,0.000,-2.2
15.92,0.000,0.9,6.3,0.000,1.6
9.87,0.000,5.3,12.1,0.000,0.5
16.08,0.000,0.3,11.5,0.000,1.2
10.41,0.000,0,8.2,0.000,-0.5
5.71,0.000,0,7.5,0.333,-7.1
4.92,0.000,0,2.7,0.333,-7.2
7,0.000,5.1,2.8,0.333,-7.7
12.38,0.000,6,5,0.333,-1.8
11.92,0.000,3.4,4.4,0.333,-2.7
7.79,0.000,0,3.4,0.000,-1.5
13.62,0.000,0,3.2,0.333,-11.1
16.21,0.000,0,7.1,0.000,-2.2
15.83,0.000,0.1,7.8,0.000,-1.6
14.46,0.000,0.3,8.4,0.000,4.1
